RANK,TITLE,BRAND NAME,DISCOUNT PRICE,TRUE PRICE,DISCOUNT PERCENTAGE,RATING,DETAILS,RATING COUNT,REVIEW COUNT,URL
1,Lenovo IdeaPad Slim 3 Chromebook Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 1...,Lenovo,22999,34890,34,3.5,"Intel Celeron Dual Core Processor
4 GB DDR4 RAM
Chrome Operating System
35.56 cm (14 Inch) Display
1 Year Carry-in Warranty",23,2,https://www.flipkart.com/lenovo-ideapad-slim-3-chromebook-intel-celeron-dual-core-n4020-4-gb-64-gb-emmc-storage-chrome-os-14igl05-thin-light-laptop/p/itm201a7b6dc7c2c
2,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,Hp,59990,75980,21,4.3,"AMD Ryzen 5 Hexa Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",816,71,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0135ax-gaming-laptop/p/itm740ddb5e8081e
3,Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,Apple,81490,99900,18,4.7,"Apple M1 Processor
8 GB DDR4 RAM
Mac OS Operating System
256 GB SSD
33.78 cm (13.3 inch) Display
Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player
1 Year Limited Warra­nty",13735,1141,https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itm3c872f9e67bc6
4,Infinix Y1 Plus Neo Intel Intel Celeron Quad Core 11th Gen JSL N5100 - (8 GB/512 GB SSD/Windows 11 Hom...,Infinix,22990,39990,42,4.1,"Intel Celeron Quad Core Processor (11th Gen)
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
39.01 cm (15.36 inch) Display
1 Year Onsite Warranty",3521,512,https://www.flipkart.com/infinix-y1-plus-neo-intel-celeron-quad-core-11th-gen-jsl-n5100-8-gb-512-gb-ssd-windows-11-home-xl30-thin-light-laptop/p/itme65936ea208c2
5,Acer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,Acer,38790,64999,40,3.8,"AMD Ryzen 5 Hexa Core Processor
16 GB DDR4 RAM
Windows 11 Operating System
1 TB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",26,3,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5500u-16-gb-1-tb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm0d5eddf7d0d52
6,DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,Dell,35990,50724,29,4.2,"Intel Core i3 Processor (12th Gen)
8 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Hardware Service",541,65,https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm2d6ee1804748f
7,HP 2023 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light L...,Hp,31990,39995,20,4.2,"AMD Ryzen 3 Dual Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",3907,337,https://www.flipkart.com/hp-2023-amd-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-15s-eq1580au-thin-light-laptop/p/itm286c2761c52f0
8,AXL Intel Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Laptop,Axl,16990,33990,50,3.5,"Intel Celeron Dual Core Processor
4 GB DDR4 RAM
Windows 11 Home Operating System
256 GB SSD
39.62 cm (15.6 inch) Display
1 Year",17,0,https://www.flipkart.com/axl-intel-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-15w-lap02-thin-light-laptop/p/itm50377e8d175f3
9,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) NP550 Thin and ...,Samsung,42990,82990,48,4.3,"Intel Core i5 Processor (12th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",2535,264,https://www.flipkart.com/samsung-galaxy-book-2-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-np550-thin-light-laptop/p/itmcb89499a3c4e4
10,ASUS Vivobook 15 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin...,Asus,40980,69990,41,4.3,"Intel Core i5 Processor (11th Gen)
8 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",7690,567,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-11th-gen-1135g7-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itmbfbbf7747aa01
11,Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,Lenovo,59990,94790,36,4.1,"Intel Core i5 Processor (12th Gen)
16 GB DDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year Onsite Warranty",176,23,https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15irh8-gaming-laptop/p/itma2ce6d6c8705b
12,CHUWI Intel Core i5 10th Gen 1035G1 - (16 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,Chuwi,34990,49990,30,4.3,"Intel Core i5 Processor (10th Gen)
16 GB DDR4 RAM
Windows 11 Home Operating System
512 GB SSD
35.56 cm (14 inch) Display
WPS Office, Operating System Software
1 Year Onsite Warranty",3,0,https://www.flipkart.com/chuwi-intel-core-i5-10th-gen-1035g1-16-gb-512-gb-ssd-windows-11-home-corebook-x-grey-laptop/p/itm575d2115bdd15
13,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and Light ...,Lenovo,26990,43790,38,4.2,"AMD Athlon Dual Core Processor
8 GB LPDDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year Carry-in Warranty",1403,142,https://www.flipkart.com/lenovo-ideapad-1-amd-athlon-dual-core-7120u-8-gb-512-gb-ssd-windows-11-home-15amn7-thin-light-laptop/p/itm920ecb24fc5b6
14,SAMSUNG Galaxy Book2 Pro EVO AMOLED Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) ...,Samsung,62990,129990,51,4.5,"Intel Core i5 Processor (12th Gen)
16 GB DDR5 RAM
Windows 11 Home Operating System
512 GB SSD
33.78 cm (13.3 Inch) Display
1 Year Onsite Warranty",1484,220,https://www.flipkart.com/samsung-galaxy-book2-pro-evo-amoled-intel-core-i5-12th-gen-1240p-16-gb-512-gb-ssd-windows-11-home-np930xed-kb3in-thin-light-laptop/p/itmadaca4430ea2a
15,ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (16 GB/512 GB SSD/Windows 11 H...,Asus,52990,80990,34,4.3,"Intel Core i5 Processor (11th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Carry-in Warranty",3756,377,https://www.flipkart.com/asus-tuf-gaming-f15-ai-powered-intel-core-i5-11th-gen-11260h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-70-tgp-fx506hf-hn076w-laptop/p/itm9fecadb1da44e
16,MSI Modern 14 Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-029IN ...,Msi,39990,59990,33,4.2,"Intel Core i5 Processor (11th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
1 Year Carry-in warranty",1181,156,https://www.flipkart.com/msi-modern-14-intel-core-i5-11th-gen-1155g7-16-gb-512-gb-ssd-windows-11-home-c11m-029in-thin-light-laptop/p/itmcd2c4319922a7
17,CHUWI Intel Core i3 12th Gen Intel Core i3-1215U - (12 GB/512 GB SSD/Windows 11 Home) FreeBook 2 in 1 ...,Chuwi,27990,49990,44,4.2,"Display: 13.5"" Ultra HD 2K 3:2 touchscreen display
Processor: Cutting-edge Intel i3 12th Gen processor, LPDDR4 12GB RAM, 512GB SSD Storage
Graphics: Intel integrated UHD Graphics GPU
2 in 1 Tablet Notebook
360-degree foldable screen
Bluetooth: 5.2
3 Type-C interfaces :- PD Fast charging, USB 3.0 data transmission, USB 2.0 data Transmission
1MP HD Cam
Compact and Portable
Intel Core i3 Processor (12th Gen)
12 GB LPDDR4 RAM
64 bit Windows 11 Home Operating System
512 GB SSD
34.29 cm (13.5 inch) Touchscreen Display
Operating System Software
1 Year Onsite Warranty",63,25,https://www.flipkart.com/chuwi-intel-core-i3-12th-gen-i3-1215u-12-gb-512-gb-ssd-windows-11-home-freebook-2-1-laptop/p/itmc5e3f409e7e39
18,CHUWI Intel Core i5 10th Gen 10210Y - (12 GB/512 GB SSD/Windows 11 Home) UBook_X 2 in 1 Laptop,Chuwi,39990,49990,20,,"Intel Core i5 Processor (10th Gen)
12 GB LPDDR3 RAM
64 bit Windows 11 Home Operating System
512 GB SSD
30.48 cm (12 inch) Touchscreen Display
WPS Office, Operating System Software
1 Year Onsite Warranty",,,https://www.flipkart.com/chuwi-intel-core-i5-10th-gen-10210y-12-gb-512-gb-ssd-windows-11-home-ubook-x-2-1-laptop/p/itmef6de52a3d474
19,WINGS Nuvobook V1 Aluminium Alloy Metal Body Intel Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Wi...,Wings,24990,59999,58,4.1,"Intel Core i5 Processor (11th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",1524,305,https://www.flipkart.com/wings-nuvobook-v1-aluminium-alloy-metal-body-intel-core-i5-11th-gen-1155g7-8-gb-512-gb-ssd-windows-11-home-wl-nuvobook-v1-blu-thin-light-laptop/p/itm3e950f390a28b
20,ASUS TUF Gaming F15 with 90WHr Battery Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 Ho...,Asus,59990,89990,33,4.5,"Intel Core i5 Processor (11th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",1999,204,https://www.flipkart.com/asus-tuf-gaming-f15-90whr-battery-intel-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-75-tgp-fx506hc-hn362w-laptop/p/itme1099c5e0c014
21,walker Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) NU14A1 Thin and Light Laptop,Walker,12990,30000,56,3.8,"Intel Celeron Dual Core Processor
4 GB LPDDR4 RAM
Windows 11 Operating System
128 GB SSD
35.81 cm (14.1 inch) Display
1 Year Onsite Warranty",584,97,https://www.flipkart.com/walker-intel-celeron-dual-core-n4020-4-gb-128-gb-ssd-windows-11-home-nu14a1-thin-light-laptop/p/itm3d8c664ba317d
